epoch,step,train/loss_epoch,train/loss_step,val/loss,val/si_sdr
0,49,,-4.483153343200684,,
0,99,,-4.167049407958984,,
0,149,,-10.555235862731934,,
0,199,,-7.069943428039551,,
0,249,,-7.3302321434021,,
0,299,,-6.789296627044678,,
0,349,,-5.037899971008301,,
0,399,,-9.05227279663086,,
0,449,,-5.325656414031982,,
0,499,,-2.645907163619995,,
0,549,,-6.22584342956543,,
0,599,,-0.981295645236969,,
0,649,,0.01113426685333252,,
0,699,,-8.606439590454102,,
0,749,,-6.507722854614258,,
0,799,,-6.381299018859863,,
0,849,,-11.340550422668457,,
0,899,,-5.517701148986816,,
0,949,,-9.70480728149414,,
0,999,,-4.898126602172852,,
0,1049,,-4.566816329956055,,
0,1099,,-8.094749450683594,,
0,1149,,-7.0703206062316895,,
0,1199,,-7.6203742027282715,,
0,1245,,,-7.574667453765869,7.574667453765869
0,1245,-7.217549800872803,,,
